date,STICKCPIM157SFRBATL
2013-10-01,0.13633
2013-11-01,0.17041
2013-12-01,0.14988
2014-01-01,0.14376
2014-02-01,0.15094
2014-03-01,0.20848
2014-04-01,0.21434
2014-05-01,0.17885
2014-06-01,0.17231
2014-07-01,0.17557
2014-08-01,0.11756
2014-09-01,0.16136
2014-10-01,0.18682
2014-11-01,0.18423
2014-12-01,0.11959
2015-01-01,0.16151
2015-02-01,0.14952
2015-03-01,0.21332
2015-04-01,0.26795
2015-05-01,0.1887
2015-06-01,0.21136
2015-07-01,0.17893
2015-08-01,0.14264
2015-09-01,0.26715
2015-10-01,0.25144
2015-11-01,0.21261
2015-12-01,0.14923
2016-01-01,0.20473
2016-02-01,0.20991
2016-03-01,0.20553
2016-04-01,0.27443
2016-05-01,0.21519
2016-06-01,0.20992
2016-07-01,0.19786
2016-08-01,0.27182
2016-09-01,0.15975
2016-10-01,0.13482
2016-11-01,0.22051
2016-12-01,0.21492
2017-01-01,0.26506
2017-02-01,0.22227
2017-03-01,0.00188
2017-04-01,0.09617
2017-05-01,0.12281
2017-06-01,0.18274
2017-07-01,0.20494
2017-08-01,0.23016
2017-09-01,0.18649
2017-10-01,0.20927
2017-11-01,0.16212
2017-12-01,0.23647
2018-01-01,0.29694
2018-02-01,0.19752
2018-03-01,0.21342
2018-04-01,0.20826
2018-05-01,0.18171
2018-06-01,0.20604
2018-07-01,0.169
2018-08-01,0.14136
2018-09-01,0.21055
2018-10-01,0.16571
2018-11-01,0.22533
2018-12-01,0.23279
2019-01-01,0.22431
2019-02-01,0.20728
2019-03-01,0.19922
2019-04-01,0.24192
2019-05-01,0.14885
2019-06-01,0.24308
2019-07-01,0.25586
2019-08-01,0.28087
2019-09-01,0.19912
2019-10-01,0.28013
2019-11-01,0.23006
2019-12-01,0.20621
2020-01-01,0.27147
2020-02-01,0.19426
2020-03-01,0.02666
2020-04-01,-0.14748
2020-05-01,0.02364
2020-06-01,0.25827
2020-07-01,0.5227
2020-08-01,0.23297
2020-09-01,0.02159
2020-10-01,0.08012
2020-11-01,0.19711
2020-12-01,0.11687
2021-01-01,0.075401673
2021-02-01,0.201121121
2021-03-01,0.189785366
2021-04-01,0.412556167
2021-05-01,0.338366943
2021-06-01,0.275218931
2021-07-01,0.344185201
2021-08-01,0.244228167
2021-09-01,0.268969399
2021-10-01,0.485587576
2021-11-01,0.388359439
2021-12-01,0.371930595
2022-01-01,0.547957247
2022-02-01,0.524333653
2022-03-01,0.430529988
2022-04-01,0.582941227
2022-05-01,0.574761318
2022-06-01,0.667121162
2022-07-01,0.499044791
2022-08-01,0.579773414
2022-09-01,0.633867992
2022-10-01,0.482711617
2022-11-01,0.488211833
2022-12-01,0.454170504
2023-01-01,0.495761412
2023-02-01,0.561424621
2023-03-01,0.33436714
2023-04-01,0.458230392
2023-05-01,0.307189387
2023-06-01,0.274855192
2023-07-01,0.296622959
2023-08-01,0.332443071
2023-09-01,0.415007592
2023-10-01,0.376470613
2023-11-01,0.309291675
2023-12-01,0.330456496
2024-01-01,0.519367627
2024-02-01,0.350066257
2024-03-01,0.40418869
2024-04-01,0.364096329
2024-05-01,0.205574523
2024-06-01,0.217335155
2024-07-01,0.248164322
2024-08-01,0.264570197
2024-09-01,0.316770447
2024-10-01,0.335885876
2024-11-01,0.226413341
2024-12-01,0.201908543
2025-01-01,0.388514045
2025-02-01,0.283507533
2025-03-01,0.187706159
2025-04-01,0.292268949
2025-05-01,0.191262023
2025-06-01,0.335022208
2025-07-01,0.363597939
2025-08-01,0.27522274
2025-09-01,0.206746387
2025-10-01,0.115536778
2025-11-01,0.115536778
2025-12-01,0.282705153
2026-01-01,0.357398851
2026-02-01,0.205853456
2026-03-01,0.201220112
2026-04-01,0.376859016
2026-05-01,0.238615079
2026-06-01,0.0676495
2026-07-01,0.28592279
