date,FLEXCPIM157SFRBATL
2003-02-01,1.2077
2003-03-01,0.2983
2003-04-01,-1.36307
2003-05-01,-0.95229
2003-06-01,0.22097
2003-07-01,0.45973
2003-08-01,1.06335
2003-09-01,0.62594
2003-10-01,-0.74744
2003-11-01,-0.09557
2003-12-01,0.44381
2004-01-01,0.72495
2004-02-01,0.20236
2004-03-01,0.30142
2004-04-01,-0.1328
2004-05-01,1.19623
2004-06-01,0.69005
2004-07-01,-0.07229
2004-08-01,-0.12935
2004-09-01,0.52924
2004-10-01,1.26031
2004-11-01,1.12975
2004-12-01,-0.28122
2005-01-01,-0.71594
2005-02-01,0.74475
2005-03-01,0.76523
2005-04-01,0.55231
2005-05-01,-0.64952
2005-06-01,-0.06088
2005-07-01,1.49668
2005-08-01,1.67282
2005-09-01,3.70546
2005-10-01,0.08375
2005-11-01,-1.96821
2005-12-01,-0.49151
2006-01-01,1.54719
2006-02-01,-0.42671
2006-03-01,-0.01655
2006-04-01,0.96396
2006-05-01,0.22947
2006-06-01,0.0871
2006-07-01,1.18471
2006-08-01,0.75903
2006-09-01,-1.86866
2006-10-01,-2.00253
2006-11-01,-0.11851
2006-12-01,1.2743
2007-01-01,-0.0424
2007-02-01,0.61474
2007-03-01,1.16305
2007-04-01,0.5358
2007-05-01,0.96146
2007-06-01,0.31881
2007-07-01,0.08267
2007-08-01,-0.35637
2007-09-01,0.75441
2007-10-01,0.37197
2007-11-01,1.79779
2007-12-01,0.41549
2008-01-01,0.44096
2008-02-01,0.38292
2008-03-01,0.53125
2008-04-01,0.25156
2008-05-01,1.35074
2008-06-01,2.70577
2008-07-01,1.58064
2008-08-01,-1.00829
2008-09-01,-0.30117
2008-10-01,-2.9212
2008-11-01,-5.68131
2008-12-01,-2.84422
2009-01-01,0.33757
2009-02-01,0.80549
2009-03-01,-0.67546
2009-04-01,0.00066
2009-05-01,0.19564
2009-06-01,2.68963
2009-07-01,-0.34828
2009-08-01,0.87483
2009-09-01,0.41155
2009-10-01,0.84683
2009-11-01,0.99771
2009-12-01,0.08704
2010-01-01,0.56111
2010-02-01,-0.40938
2010-03-01,0.0268
2010-04-01,-0.11649
2010-05-01,-0.39257
2010-06-01,-0.41706
2010-07-01,0.50035
2010-08-01,0.34354
2010-09-01,0.35274
2010-10-01,1.04352
2010-11-01,0.50106
2010-12-01,1.23879
2011-01-01,0.67665
2011-02-01,0.62883
2011-03-01,1.45832
2011-04-01,1.30487
2011-05-01,0.77178
2011-06-01,-0.38071
2011-07-01,0.42999
2011-08-01,0.38427
2011-09-01,0.40228
2011-10-01,-0.17551
2011-11-01,0.24593
2011-12-01,-0.47489
2012-01-01,0.28417
2012-02-01,0.4513
2012-03-01,0.21317
2012-04-01,0.14352
2012-05-01,-1.03198
2012-06-01,-0.78011
2012-07-01,-0.41726
2012-08-01,1.56007
2012-09-01,1.18066
2012-10-01,0.55338
2012-11-01,-0.86663
2012-12-01,-0.42173
2013-01-01,0.21419
2013-02-01,1.36324
2013-03-01,-1.32783
2013-04-01,-0.83801
2013-05-01,-0.07843
2013-06-01,0.44547
2013-07-01,0.18103
2013-08-01,0.27185
2013-09-01,-0.23418
2013-10-01,-0.15526
2013-11-01,0.21543
2013-12-01,0.54533
2014-01-01,0.54252
2014-02-01,0.02069
2014-03-01,0.19753
2014-04-01,0.12018
2014-05-01,0.20944
2014-06-01,0.03364
2014-07-01,-0.0437
2014-08-01,-0.35427
2014-09-01,-0.3803
2014-10-01,-0.5574
2014-11-01,-1.12654
2014-12-01,-1.35687
2015-01-01,-2.62374
2015-02-01,0.50043
2015-03-01,0.38658
2015-04-01,-0.33979
2015-05-01,0.72563
2015-06-01,0.46299
2015-07-01,0.11547
2015-08-01,-0.39543
2015-09-01,-1.56055
2015-10-01,-0.33053
2015-11-01,-0.12835
2015-12-01,-0.7855
2016-01-01,-0.70448
2016-02-01,-1.0338
2016-03-01,0.57921
2016-04-01,0.67055
2016-05-01,0.29836
2016-06-01,0.49528
2016-07-01,-0.76606
2016-08-01,-0.05757
2016-09-01,0.5665
2016-10-01,0.5255
2016-11-01,-0.16126
2016-12-01,0.34813
2017-01-01,0.76935
2017-02-01,-0.00215
2017-03-01,-0.17447
2017-04-01,0.1994
2017-05-01,-0.64725
2017-06-01,-0.27174
2017-07-01,-0.46801
2017-08-01,0.8591
2017-09-01,1.45638
2017-10-01,-0.28747
2017-11-01,0.55531
2017-12-01,0.13799
2018-01-01,0.61378
2018-02-01,0.44922
2018-03-01,-0.48335
2018-04-01,0.40038
2018-05-01,0.34967
2018-06-01,-0.22379
2018-07-01,-0.17581
2018-08-01,0.30005
2018-09-01,0.19799
2018-10-01,0.42026
2018-11-01,-0.87471
2018-12-01,-0.38179
2019-01-01,-0.89601
2019-02-01,0.55987
2019-03-01,0.85138
2019-04-01,0.72742
2019-05-01,-0.3226
2019-06-01,-0.81381
2019-07-01,0.18097
2019-08-01,-0.45235
2019-09-01,0.03538
2019-10-01,0.27647
2019-11-01,0.4217
2019-12-01,0.52558
2020-01-01,0.04503
2020-02-01,-0.31694
2020-03-01,-1.73469
2020-04-01,-2.72142
2020-05-01,-0.46503
2020-06-01,1.27094
2020-07-01,0.51854
2020-08-01,0.83629
2020-09-01,1.07967
2020-10-01,0.2164
2020-11-01,0.16377
2020-12-01,1.39739
2021-01-01,0.838383222
2021-02-01,0.769876731
2021-03-01,1.433130678
2021-04-01,1.160031167
2021-05-01,1.532457243
2021-06-01,2.375735044
2021-07-01,0.883434242
2021-08-01,0.40117853
2021-09-01,0.972520804
2021-10-01,2.242916446
2021-11-01,2.050480082
2021-12-01,1.497978038
2022-01-01,0.727649749
2022-02-01,1.135117463
2022-03-01,2.659589596
2022-04-01,-0.470032181
2022-05-01,1.980773519
2022-06-01,2.552515264
2022-07-01,-1.240726508
2022-08-01,-1.283058453
2022-09-01,-0.247806585
2022-10-01,0.742518467
2022-11-01,-0.228820968
2022-12-01,-1.035548754
2023-01-01,0.680671531
2023-02-01,-0.245197532
2023-03-01,-0.50105683
2023-04-01,0.034042369
2023-05-01,-0.242523738
2023-06-01,0.094775018
2023-07-01,-0.063404953
2023-08-01,0.909720291
2023-09-01,0.353497411
2023-10-01,-0.470104688
2023-11-01,-0.428123856
2023-12-01,-0.041866237
2024-01-01,-0.316217033
2024-02-01,0.487966759
2024-03-01,0.508793651
2024-04-01,-0.172510342
2024-05-01,-0.451984041
2024-06-01,-0.696909637
2024-07-01,-0.080469713
2024-08-01,-0.197430365
2024-09-01,-0.140930781
2024-10-01,0.152870452
2024-11-01,0.440175826
2024-12-01,0.747425729
2025-01-01,0.49882096
2025-02-01,0.139861014
2025-03-01,-0.322634541
2025-04-01,-0.196565095
2025-05-01,-0.192333544
2025-06-01,0.030132223
2025-07-01,-0.153830783
2025-08-01,0.560617462
2025-09-01,0.55471486
2025-10-01,0.174390387
2025-11-01,0.142389016
2025-12-01,0.323349162
2026-01-01,-0.384510758
2026-02-01,0.46075598
2026-03-01,2.634058998
2026-04-01,1.363493811
2026-05-01,1.107630624
2026-06-01,-1.774278179
2026-07-01,-0.514324319
